ID,Date ID,Catalog Item ID,Geolocation Name,Catalog Item Title,Geolocation Type,Catalog Item Type
91099,7673,14792,SLOVENIA,1800 Reposado Tequila,Country,Bottle
91163,7673,13578,SLOVENIA,Aberlour 12 Year Old Double Cask Matured,Country,Bottle
91167,7673,11923,SLOVENIA,Aberlour 16 Year Old,Country,Bottle
91173,7673,13393,SLOVENIA,Aberlour 18 Year Old Double Cask Matured (500ml),Country,Bottle
91181,7673,17446,SLOVENIA,Aberlour Casg Annamh Batch 5,Country,Bottle
91186,7673,12824,SLOVENIA,Ableforth's Bathtub Gin,Country,Bottle
91198,7673,17439,SLOVENIA,AC/DC Thunderstruck Tequila Reposado,Country,Bottle
91204,7673,18397,SLOVENIA,Adamus Vinica 20 Year Old Gin,Country,Bottle
91210,7673,5144,SLOVENIA,A.H. Riise 1888 Copenhagen Gold Medal Rum,Country,Bottle
91214,7673,14584,SLOVENIA,A.H. Riise XO King Haakon Royal Reserve Rum,Country,Bottle
91218,7673,14100,SLOVENIA,Aivy Blue Triple Grain Vodka,Country,Bottle
91225,7673,13147,SLOVENIA,Akashi White Oak Blended Japanese Whisky,Country,Bottle
91240,7673,14023,SLOVENIA,Alipus San Andres Mezcal,Country,Bottle
91262,7673,13006,SLOVENIA,Amrut Fusion Single Malt Whisky,Country,Bottle
91268,7673,14104,SLOVENIA,Amrut Peated Single Malt Whisky,Country,Bottle
91278,7673,14687,SLOVENIA,Amrut Two Indies Rum,Country,Bottle
91287,7673,13622,SLOVENIA,anCnoc 12 Year Old,Country,Bottle
91299,7673,12188,SLOVENIA,Angostura 1824 Premium Rum,Country,Bottle
91305,7673,17947,SLOVENIA,Angostura 7 Year Old Dark Rum,Country,Bottle
91321,7673,15091,SLOVENIA,Appleton Estate Signature Blend,Country,Bottle
91329,7673,15026,SLOVENIA,Ararat Akhtamar 10 Year Old,Country,Bottle
91333,7673,6761,SLOVENIA,Ararat Vaspurakan 15 Year Old,Country,Bottle
91339,7673,15233,SLOVENIA,Ardbeg 10 Year Old,Country,Bottle
91345,7673,14355,SLOVENIA,Ardbeg 5 Year Old Wee Beastie,Country,Bottle
91351,7673,12012,SLOVENIA,Ardbeg An Oa,Country,Bottle
91357,7673,14761,SLOVENIA,Ardbeg Corryvreckan,Country,Bottle
91365,7673,15330,SLOVENIA,Ardbeg Uigeadail,Country,Bottle
91371,7673,14325,SLOVENIA,Ardmore Legacy,Country,Bottle
91381,7673,14162,SLOVENIA,Arran 10 Year Old Whisky,Country,Bottle
91392,7673,15658,SLOVENIA,Arran Quarter Cask The Bothy,Country,Bottle
91409,7673,15729,SLOVENIA,Auchentoshan 12 Year Old Whisky,Country,Bottle
91419,7673,15726,SLOVENIA,Auchentoshan American Oak,Country,Bottle
91426,7673,14900,SLOVENIA,Auchentoshan Three Wood,Country,Bottle
91432,7673,14185,SLOVENIA,Auchroisk 10 YO Flora and Fauna,Country,Bottle
91438,7673,15032,SLOVENIA,Aultmore 18 Year Old,Country,Bottle
91442,7673,18152,SLOVENIA,Averna Amaro,Country,Bottle
91484,7673,15755,SLOVENIA,Barbancourt 15 Year Old Reserve du Domaine Rhum,Country,Bottle
91491,7673,14477,SLOVENIA,Barcelo Imperial Rum,Country,Bottle
91509,7673,13493,SLOVENIA,Barsol Pisco Quebranta,Country,Bottle
91517,7673,13575,SLOVENIA,Basil Hayden's Bourbon,Country,Bottle
91567,7673,12934,SLOVENIA,Benromach 10 Year Old,Country,Bottle
91571,7673,11424,SLOVENIA,Benromach 2009 Peat Smoke,Country,Bottle
91575,7673,14058,SLOVENIA,Benromach Contrasts: Organic,Country,Bottle
91580,7673,10659,SLOVENIA,Bepi Tosolini Smoked Grappa,Country,Bottle
91590,7673,10762,SLOVENIA,Bib & Tucker 6 Year Old Small Batch Bourbon,Country,Bottle
91612,7673,17567,SLOVENIA,Black Irish Made Dark Spirit Drink,Country,Bottle
91618,7673,15169,SLOVENIA,Black Tomato Gin,Country,Bottle
91640,7673,10254,SLOVENIA,Bluecoat American Dry Gin,Country,Bottle
91660,7673,15861,SLOVENIA,Bordiga Gin Premium Smoke,Country,Bottle
91688,7673,15837,SLOVENIA,Bowmore 15 Year Old,Country,Bottle
91697,7673,17565,SLOVENIA,Bowsaw Extra American Small Batch Bourbon,Country,Bottle
91720,7673,10014,SLOVENIA,Brenne Estate Cask French Single Malt Whisky,Country,Bottle
91729,7673,10123,SLOVENIA,Broken Bones Ljubljana Dragon Gin,Country,Bottle
91734,7673,11194,SLOVENIA,Broken Bones London Dry Gin,Country,Bottle
91739,7673,10229,SLOVENIA,Broken Bones Navy Strength Gin,Country,Bottle
91743,7673,5053,SLOVENIA,Broken Bones Old Tom Gin,Country,Bottle
91747,7673,5544,SLOVENIA,Broken Bones Sloe Gin,Country,Bottle
91755,7673,15198,SLOVENIA,Brooklyn Small Batch Gin,Country,Bottle
91777,7673,15352,SLOVENIA,Bruichladdich The Classic Laddie Scottish Barley,Country,Bottle
91784,7673,15452,SLOVENIA,Buffalo Trace 80 Proof Bourbon,Country,Bottle
91800,7673,12435,SLOVENIA,Bulleit 10 Year Old Bourbon Whiskey,Country,Bottle
91809,7673,14619,SLOVENIA,Bulleit Straight Bourbon Whiskey (45%),Country,Bottle
91816,7673,5517,SLOVENIA,Bulleit Straight Rye Mash Whiskey,Country,Bottle
91824,7673,10797,SLOVENIA,Bumbu The Original Rum,Country,Bottle
91835,7673,10317,SLOVENIA,Bunnahabhain Eirigh Na Greine,Country,Bottle
91841,7673,13179,SLOVENIA,Bunnahabhain Stiùireadair,Country,Bottle
91847,7673,13879,SLOVENIA,Bunnahabhain Toiteach a Dhà,Country,Bottle
91853,7673,9920,SLOVENIA,Bushmills 10 Year Old Single Malt,Country,Bottle
91860,7673,15237,SLOVENIA,Bushmills 16 Year Old Three Woods,Country,Bottle
91870,7673,11592,SLOVENIA,Bushmills Black Bush (1L),Country,Bottle
91892,7673,17792,SLOVENIA,Cambridge Distillery Curator's Gin,Country,Bottle
91897,7673,15717,SLOVENIA,Cambridge Distillery Japanese Gin,Country,Bottle
91902,7673,17450,SLOVENIA,Cambridge Distillery Three Seasons Gin,Country,Bottle
91907,7673,14525,SLOVENIA,Cambridge Distillery Truffle Gin,Country,Bottle
91928,7673,13041,SLOVENIA,Cantarelle Gin De Provence,Country,Bottle
91938,7673,13861,SLOVENIA,Caol Ila Distillers Edition,Country,Bottle
91948,7673,11696,SLOVENIA,Caorunn Small Batch Gin (1L),Country,Bottle
91955,7673,15619,SLOVENIA,Cardenal Mendoza Carta Real,Country,Bottle
91961,7673,14075,SLOVENIA,Cardhu 12 Year Old,Country,Bottle
91966,7673,10928,SLOVENIA,Cardhu 15 Year Old,Country,Bottle
91972,7673,18339,SLOVENIA,Carlos I. Amontillado,Country,Bottle
92021,7673,13397,SLOVENIA,Chapter 7 Anecdote #1 24 Year Old 1995,Country,Bottle
92030,7673,14089,SLOVENIA,Chapter 7 Monologue 22 Year Old Auchentoshan 1998,Country,Bottle
92034,7673,17476,SLOVENIA,Chapter 7 Monologue 30 Year Old Girvan 1991 Scotch Whisky,Country,Bottle
92042,7673,10575,SLOVENIA,Chapter 7 Prologue Blended Malt Scotch Whisky,Country,Bottle
92069,7673,11809,SLOVENIA,Chivas Regal Mizunara,Country,Bottle
92107,7673,18336,SLOVENIA,Cles Des Ducs XO,Country,Bottle
92118,7673,18312,SLOVENIA,Código 1530 Añejo Tequila,Country,Bottle
92122,7673,18332,SLOVENIA,Código 1530 Barrel Strength Tequila,Country,Bottle
92126,7673,18354,SLOVENIA,Código 1530 Blanco Tequila,Country,Bottle
92130,7673,18313,SLOVENIA,Código 1530 Origen Tequila,Country,Bottle
92134,7673,18311,SLOVENIA,Código 1530 Reposado Tequila,Country,Bottle
92139,7673,18310,SLOVENIA,Código 1530 Rosa Tequila,Country,Bottle
92157,7673,12999,SLOVENIA,Compass Box Hedonism,Country,Bottle
92176,7673,15280,SLOVENIA,Connemara 12 Year Old Peated Whiskey,Country,Bottle
92182,7673,15462,SLOVENIA,Connemara Peated,Country,Bottle
92197,7673,12477,SLOVENIA,Copper & Kings Butchertown Brandy,Country,Bottle
92209,7673,15353,SLOVENIA,Corn Trooper United Craft Bourbon,Country,Bottle
92230,7673,14030,SLOVENIA,Cotswolds Dry Gin,Country,Bottle
92246,7673,17362,SLOVENIA,Cragganmore 2007 Distillers Edition 2019,Country,Bottle
92253,7673,15240,SLOVENIA,Craigellachie 13 Year Old,Country,Bottle
